,GA (1 point crossover),,,,DE (best strategy),,,
,Average,StdDev,Time(msec),,Average,StdDev,Time(msec),DE strategy (1-10)
F1,-182386.9311,103593.8656,2139.22319,,-1.28247E+21,1.81369E+21,8233.30205,10
F2,51279.31144,72210.04113,803.53023,,94668.23477,0,2056.86144,10
F3,56911172348,15568379046,637.78725,,63760191389,0,2082.81636,10
F4,2512923.937,100458.502,1286.98124,,3401363.592,0,3254.85814,1
F5,342.3107375,480.9613263,1107.85301,,521.7658631,0,3447.97575,1
F6,-292.7268663,334.8678148,1201.53464,,-577.6752035,817.6807632,14069.68182,1
F7,53.40265856,0,3900.4651,,53.40265856,0,7337.55141,2
F8,633.3885135,76.43801457,1616.14884,,480.2340515,0,4617.8691,1
F9,308.5317728,385.0610778,3601.43601,,554.8934409,0,6674.60594,9
F10,-301277.4322,212045.0277,1629.70022,,-172108.2509,0,8618.37431,10
F11,-52349.30306,74065.08597,2709.23088,,1325.056408,0,6772.91672,10
F12,13.4730384,0.718310053,1210.50597,,13.69710411,0,34856.18693,10
F13,-526.6797975,170.4478829,3322.66037,,-270.496782,378.434199,4584.95913,10
F14,-274.033647,385.4542466,2288.59049,,-441.344316,628.138655,23755.5344,10
F15,6459534513,9135161315,1775.66551,,5673081766,0,3689.93724,10
F16,421.7531383,85.36967337,1609.49208,,313.9493037,0,4671.77257,10
F17,105887.7192,26333.64914,573.86655,,97616.33759,0,1780.83837,10
F18,1036.096738,23.03868979,1125.69749,,835.1672377,0,3267.29566,4
