f(x),average,SD(Standard Devation),Range,Median,Time(ms)
Schwefel,21460.93290894548,-1.780092440712955E8,9258.55570451984~ 16423.69121322677,12843.348832891363,297156.0
De Jong 1,2432792.3802499897,-1.2677530066223213E12,99224.43754205278~ 2813781.1099327477,1549648.854739108,51351.0
Rosenbrock's Saddle,1.339847480868603E12,-3.7799586736697624E23,5.474099803449849E10~ 1.553633126004013E12,8.768180715993877E11,120448.0
Rastrigin,8.889345396768099E14,-3.1608184633216766E29,5.333606836440054E14~ 5.333607629892445E14,5.3336072583730056E14,242785.0
Griewangk,2.963115368025046E12,-3.512021073690482E24,1.7778692121420928E12~ 1.7778692296170222E12,1.777869220982876E12,261663.0
Sine Envelope Sine Wave,2.963115349936401E12,-3.5120210308114904E24,1.7778692099542979E12~ 1.7778692099681313E12,1.7778692099619924E12,254489.0
Stretch V Sine Wave,2.9631153513265156E12,-3.512021034106745E24,1.7778692100215364E12~ 1.7778692115702822E12,1.7778692108226118E12,511245.0
Ackley One,2.963115417784616E12,-3.5120211916451565E24,1.7778692421329346E12~ 1.777869259099631E12,1.777869250879014E12,560707.0
Ackley Two,2.9631154470056377E12,-3.51202126091337E24,1.7778692596946821E12~ 1.7778692766793362E12,1.777869268464567E12,684554.0
Egg Holder,2.963115387804344E12,-3.512021120577154E24,1.7778692286735693E12~ 1.7778692388424912E12,1.7778692314658137E12,515398.0
Rana,2.963115399340938E12,-3.5120211479245605E24,1.777869237434817E12~ 1.7778692419626748E12,1.777869239748927E12,929982.0
Pathological,2.589388543693242E12,-2.681973212083923E24,1.5536331260177627E12~ 1.5536331264128577E12,1.5536331262239932E12,414206.0
Michalewicz,2.9631153525315454E12,-3.512021036963261E24,1.7778692114705593E12~ 1.7778692115658794E12,1.7778692115199453E12,490855.0
Master's Cosine Wave,2.9631153499286763E12,-3.5120210307931755E24,1.7778692099439446E12~ 1.777869209968058E12,1.7778692099567927E12,507091.0
Quartic,2.782849240776429E12,-3.090453113856322E24,9258.55570451984~ 1.7778660456968445E12,1.6802103217052642E12,146879.0
Levy,2.9631165693241963E12,-3.512023921361206E24,9258.55570451984~ 1.777870561558652E12,1.7778699742993237E12,504826.0
Step,2.963112551988467E12,-3.5120143982995054E24,9258.55570451984~ 1.7778689065368123E12,1.7778676222454932E12,68342.0
Alpine,2.963114868803272E12,-3.512019890289214E24,9258.55570451984~ 1.7778689352876763E12,1.7778689220033223E12,238253.0
