size=10,AVERAGE,MIN,MAX,MEDIAN,SD,executiontime
f(x1) ,-2025.814463,-4883.788912,-176.9119193,-1915.078999,1509.898545,90763.77472
f(x2) ,16146.78724,8350.688423,21258.23262,14801.68607,3577.749378,
f(x3) ,4461869322,1532541857,8802164609,4177896452,1862383878,
f(x4) ,138579.2126,72727.3375,189040.2623,148834.7838,34831.16809,
f(x5) ,100.934348,70.46418619,149.3275585,104.5144551,19.43009947,
f(x6) ,-5.337973703,-7.665450038,-2.218863003,-4.085835088,1.359678709,
f(x7) ,16.57323886,16.57323886,16.57323886,16.57323886,0,
f(x8) ,110.5721362,56.64193098,134.5807487,115.2831823,19.72631034,
f(x9) ,154.7861992,122.2525629,170.2745444,159.2971183,10.61657241,
f(x10) ,-9453.156529,-13280.78678,-6147.732554,-8756.764061,1767.59572,
f(x11) ,-6215.754098,-9319.616872,-3778.772198,-6033.301305,1432.341265,
f(x12) ,2.642682344,0.94638375,3.33502565,2.915146041,0.530154316,
f(x13) ,-37.78829594,-41.07182114,-33.86943522,-36.63588941,1.833158938,
f(x14) ,-23.22744742,-33.93422615,-14.93213602,-17.87292847,4.838162896,
f(x15) ,137148621.3,14992431.39,279447803.4,108015225.3,60965728.03,
f(x16) ,4211.501062,1686.739887,6397.006562,3663.668445,1175.305062,
f(x17) ,16473.30033,8578.12119,21654.82667,15110.80666,3622.826119,
f(x18) ,168.096305,119.809061,210.6645567,147.4472018,26.21261021,
size=20,,,,,,
f(x1) ,-921.878087,-5334.991462,2567.971844,-1468.380891,2091.870074,113358.3087
f(x2) ,39791.50277,31485.909,48865.84087,35429.59408,4169.513879,
f(x3) ,16621968618,9213041356,25056361145,16571443378,3493857082,
f(x4) ,730374.5323,587631.9696,949465.3837,666545.042,99818.55462,
f(x5) ,247.996336,193.2839977,298.3346766,259.343394,26.23257587,
f(x6) ,-14.20566105,-19.82064653,-7.876032381,-12.13060437,3.401209538,
f(x7) ,34.98794871,34.98794871,34.98794871,34.98794871,7.23E-15,
f(x8) ,280.341937,212.2186421,334.1527063,275.9713999,22.81839029,
f(x9) ,348.8708369,327.8301953,363.5687469,348.8796881,9.390414425,
f(x10) ,-14641.98418,-22190.90729,-9338.400377,-17764.32006,3857.199491,
f(x11) ,-9911.592582,-17642.10557,-5340.931685,-11289.01543,2838.137851,
f(x12) ,6.781970453,4.222497496,7.98790941,6.445669956,0.867262476,
f(x13) ,-74.81718794,-81.11453274,-70.61400019,-74.64436925,2.559967691,
f(x14) ,-31.74503598,-48.43198641,-19.55593374,-30.4503526,6.63897331,
f(x15) ,1289244221,862150229.8,1720991500,1614874673,254657040.3,
f(x16) ,13254.16914,7854.201379,16964.65691,12751.09236,1856.454864,
f(x17) ,40531.68922,32145.99025,49724.09565,36099.3054,4214.357628,
f(x18) ,413.4502848,301.2242239,494.7229997,433.284854,40.17118636,
size=30,,0,0,#NUM,,
f(x1) ,1773.799933,-3526.004821,6166.211889,-234.5870631,2499.320194,131125.1236
f(x2) ,68373.95886,49694.86586,79297.80981,67801.01587,6890.778111,
f(x3) ,31477898420,22228473642,37984994975,34308550499,4562417362,
f(x4) ,1850107.229,1215170.547,2234576.797,2076652.336,199640.0562,
f(x5) ,422.3739281,316.5284457,511.9451145,385.9210378,44.44749498,
f(x6) ,-19.68457596,-28.77191416,-10.96580516,-19.30537731,3.985320156,
f(x7) ,53.40265856,53.40265856,53.40265856,53.40265856,2.17E-14,
f(x8) ,458.689725,417.4345401,512.9906563,463.7232812,21.48658974,
f(x9) ,544.0829099,518.3570003,561.7990444,538.5319454,11.05573653,
f(x10) ,-18477.88311,-30100.41937,-11646.55043,-22119.63977,3615.615765,
f(x11) ,-11903.39601,-21470.43301,-6476.455105,-9888.055581,3236.624579,
f(x12) ,11.11437085,8.985050563,12.80631024,10.77621305,0.858799848,
f(x13) ,-110.8109424,-118.8554189,-104.9300386,-108.2779092,2.874312657,
f(x14) ,-39.7190528,-61.54058267,-26.17552644,-50.09380492,8.916369963,
f(x15) ,3759873867,2382677393,4800045529,4149564414,653859006.5,
f(x16) ,23234.2925,16964.68776,31530.4787,20173.91087,3282.564703,
f(x17) ,69575.8267,50673.44978,80583.18315,68956.914,6966.140452,
f(x18) ,688.5272243,564.6272454,801.8245152,687.7368975,61.46736134,
