,Average,Min,Max,Med,
f(x1) ,-1384.929138,-5148.397181,1658.722823,-1288.80156,1568.586404,92009.7582
f(x2) ,46658.45428,17741.41202,100161.4716,30711.6703,26316.42481
f(x3) ,23116099872,6131264678,54855739423,18104307814,13668228331,
f(x4) ,410419.7886,124799.1689,892037.7363,316847.3481,205953.4047,
f(x5) ,304.4053182,131.1736308,756.8602445,233.7496344,171.5847318,
f(x6) ,-3.85701194,-8.566174796,-0.60342367,-3.601951946,2.026427488,
f(x7) ,24.85985829,16.57323886,49.71971659,16.57323886,11.30772596,
f(x8) ,265.0505611,81.84066393,716.6244403,210.310737,143.163786,
f(x9) ,268.8009345,142.468751,565.4389831,188.6283378,124.6761024,
f(x10) ,-8442.256352,-12239.03249,-3425.467573,-8356.262273,2299.820295,
f(x11) ,-4982.83117,-10100.04922,-2304.992339,-4738.763445,1666.457279,
f(x12) ,6.385772973,3.271516496,13.69610694,4.516453015,2.978143184,
f(x13) ,-32.62660451,-39.51381321,-29.14387922,-31.97886709,2.599878925,
f(x14) ,-17.29925748,-30.47645716,-11.14591619,-17.20764385,3.999805939,
f(x15) ,869517165.6,100959225.3,2163468119,646134459.7,625432443.1,
f(x16) ,15578.40992,3326.717348,35818.1688,14563.39672,8667.861078,
f(x17) ,47401.626,18109.14492,101858.6111,31169.42403,26709.15596,
f(x18) ,448.9817525,176.6115429,1045.513031,322.7402084,251.9570522,

f(x1) ,654.6952716,-6445.460682,4446.152529,1096.792185,2221.597341,115448.1812,
f(x2) ,104717.0063,42263.7533,225054.2579,79658.85796,52799.19539,
f(x3) ,59795965282,22451956153,1.30004E+11,51799817292,28712357104,
f(x4) ,1898479.543,795360.8222,4973822.531,1457676.041,1064034.232,
f(x5) ,632.5194568,263.4205986,1533.034419,489.2679085,347.3963049,
f(x6) ,-9.376407908,-14.68770344,-3.846593624,-9.148188314,2.911200914,
f(x7) ,55.98071794,34.98794871,139.9517948,34.98794871,29.91489017,
f(x8) ,619.1972846,291.3059615,1373.885994,427.7232099,331.9392567,
f(x9) ,614.1073488,346.2962044,1470.238983,393.6223656,327.523732,
f(x10) ,-12701.83708,-23988.60552,-6686.970599,-11721.9827,3765.904236,
f(x11) ,-7881.906505,-12697.93582,-3548.79219,-7352.477308,2327.811144,
f(x12) ,14.03591015,6.648822237,35.8677735,9.565370306,7.670935724,
f(x13) ,-64.64988879,-71.07099682,-57.5336782,-64.30825673,3.5069618,
f(x14) ,-27.45382149,-48.4393352,-12.26384586,-28.51528755,8.038804512,
f(x15) ,5091687433,1065152084,11255310995,4930115776,2608978135,
f(x16) ,37803.99044,12189.21123,85331.016,33864.21147,21056.69057,
f(x17) ,106301.1027,42992.84307,228620.9869,80768.91671,53624.41499,
f(x18) ,1014.349086,473.4451178,2277.18506,786.9055149,517.3341895,

f(x1) ,2977.768215,-7385.527291,6611.353265,3651.06673,2991.333651,131570.0122,
f(x2) ,153740.7555,79632.34847,363380.5675,113539.3264,90894.46151,
f(x3) ,88577977791,40043183915,2.08884E+11,71875529053,51717258535,
f(x4) ,4124096.504,1538643.018,11216843.32,2791110.198,2664249.801,
f(x5) ,920.2868635,387.6753447,2411.405708,669.7607629,604.5384881,
f(x6) ,-17.13276765,-34.49605331,-8.443892969,-15.61473,6.876985541,
f(x7) ,82.86619432,53.40265856,213.6106342,53.40265856,50.07650027,
f(x8) ,896.0086158,455.7771256,2432.502876,614.5418875,558.970365,
f(x9) ,902.2621404,545.4479867,2354.818519,595.372066,549.2819087,
f(x10) ,-17499.63209,-26744.91314,-12239.17439,-16594.2594,4893.381592,
f(x11) ,-8867.100578,-15102.02434,-4491.32849,-8476.917724,3129.012184,
f(x12) ,21.25079069,10.99072197,56.72623775,14.57585751,13.21972003,
f(x13) ,-98.55521803,-110.4669714,-88.83142581,-98.66116289,18.86493263,
f(x14) ,-29.75881582,-46.95613459,-13.80931199,-27.63056071,10.07580256 ,
f(x15) ,12218835052,3686652678,27757234817,10064816800,6757251152,
f(x16) ,59219.84936,18453.56341,147288.006,44724.12304,37015.65559,
f(x17) ,156065.657,81009.36676,369010.7422,115155.0788,92281.87037,
f(x18) ,1521.668622,786.5293056,3834.099539,1022.377276,935.1915352,
