SIZE=10,Average,Min,MAX,MEDIAN,standarddeviation,executiontime
f(x1) ,3102.766,-2378.135,6608.721,3760.311,2377.217,3057.893
f(x2) ,33510.877,9125.331,48514.965,34700.674,8097.938,
f(x3) ,18500708977,1729816757,32676003582,18627350458,7102701487,
f(x4) ,275591.868,122766.682,443704.81,265745.252,72343.499,
f(x5) ,216.673,99.22,323.177,206.111,60.493,
f(x6) ,-2.116,-17.514,5.651,-2.301,4.288,
f(x7) ,16.573,16.573,16.573,16.573,0,
f(x8) ,176.073,134.812,236.138,171.536,24.623,
f(x9) ,180.472,161.478,193.645,181.621,7.743,
f(x10) ,-1835.02,-14393.23,7315.966,-1365.717,4215.692,
f(x11) ,-714.021,-6031.449,3498.48,-702.627,2057.833,
f(x12) ,4.381,3.253,4.961,4.488,0.409,
f(x13) ,-30.275,-38.153,-24.202,-29.473,3.357,
f(x14) ,-2.759,-14.966,9.175,-2.498,6.356,
f(x15) ,782411423.3,24462844.41,1373411311,789190870,359401660.8,
f(x16) ,11767.918,3679.918,24447.063,11888.252,5319.135,
f(x17) ,34013.28,9375.751,49163.5,35221.211,8174.648,
f(x18) ,324.298,119.59,525.95,300.31,86.88,
size=20,,,,,,
f(x1) ,5519.881,-718.503,13376.58,6025.821,3534.196,3843.175
f(x2) ,66296.422,47351.687,94928.143,63821.733,13608.635,
f(x3) ,37196416479,22938540978,61497539202,32900202370,11536023906,
f(x4) ,1180561.303,711638.723,1523842.363,1212109.174,228433.698,
f(x5) ,396.931,271.342,521.837,402.876,64.345,
f(x6) ,-3.455,-16.244,9.995,-2.175,6.547,
f(x7) ,34.988,34.988,34.988,34.988,0,
f(x8) ,377.681,301.772,447.961,381.45,39.237,
f(x9) ,382.419,355.584,399.546,384.119,11.171,
f(x10) ,-3594.479,-10824.224,2571.006,-2452.796,3567.983,
f(x11) ,-1655.328,-8623.927,6098.27,-1789.4,3332.161,
f(x12) ,8.939,4.966,10.062,9.258,1.013,
f(x13) ,-63.171,-72.895,-52.166,-62.62,4.997,
f(x14) ,-5.843,-33.215,25.848,-6.563,14.455,
f(x15) ,3393745896,1443370450,6282326542,3118625770,1279794056,
f(x16) ,27182.051,12860.161,42472.895,25872.089,8225.79,
f(x17) ,67303.414,48192.066,96208.25,64780.358,13732.188,
f(x18) ,637.494,449.401,830.093,654.01,89.745,
size=30,,,,,,
f(x1) ,10582.582,2313.929,20440.247,11686.579,3867.712,4204.471
f(x2) ,100610.724,64895.967,123913.551,103357.652,13850.575,
f(x3) ,58888928708,23829158503,79093003283,60395850220,12634677101,
f(x4) ,2829327.346,2382629.339,3581493.384,2799802.323,324998.7,
f(x5) ,656.772,469.001,931.004,654.45,116.361,
f(x6) ,-2.905,-18.811,6.671,-1.662,6.286,
f(x7) ,53.403,53.403,53.403,53.403,0,
f(x8) ,576.711,444.106,711.137,569.933,55.291,
f(x9) ,581.802,538.752,605.216,583.138,16.345,
f(x10) ,-6554.428,-22423.743,3440.34,-5213.274,5968.219,
f(x11) ,-2356.336,-8691.463,7451.203,-2105.875,3510.765,
f(x12) ,13.472,11.33,15.013,13.759,1.15,
f(x13) ,-99.293,-110.067,-87.61,-98.955,6.186,
f(x14) ,-5.105,-33.404,32.45,-5.198,13.684,
f(x15) ,8177965937,3660177011,12134012971,8116242647,2203972863,
f(x16) ,38400.793,19679.08,66349.49,39350,8867.757,
f(x17) ,102126.63,66047.293,125668.676,104918.74,13987.927,
f(x18) ,968.461,644.966,1157.616,999.022,129.904,
