,AVERAGE,STDEV,,,AVERAGE,STDEV
f(x1) ,-67741.83,113699.07,,f(x1) ,13742.46,577.44
f(x2) ,99040.19,20395.68,,f(x2) ,121120.44,16009.48
f(x3) ,22696399645,25183879175,,f(x3) ,92858399086,45780438680
f(x4) ,1499933.68,1173406.7,,f(x4) ,2684199.97,907146.68
f(x5) ,759.2,82.65,,f(x5) ,542.6,18.53
f(x6) ,-170.21,241.36,,f(x6) ,-1044.46,89.31
f(x7) ,53.4,0,,f(x7) ,53.4,0
f(x8) ,567.92,98.72,,f(x8) ,586.04,90.9
f(x9) ,499.68,114.92,,f(x9) ,591.66,9.79
f(x10) ,-210907.75,224720.63,,f(x10) ,-68031.34,100593.47
f(x11) ,488.84,248.01,,f(x11) ,993.8,779.61
f(x12) ,13.21,0.47,,f(x12) ,13.93,0.93
f(x13) ,-226.18,293.66,,f(x13) ,-200.11,68.6
f(x14) ,-1061.34,29.49,,f(x14) ,-3120.03,826.24
f(x15) ,4069172796,5532375924,,f(x15) ,11611682006,1909745621
f(x16) ,336.45,303.07,,f(x16) ,554.57,209.98
f(x17) ,65263.75,43424.82,,f(x17) ,113104.82,42495.06
f(x18) ,601.95,249.32,,f(x18) ,1073.42,133.46
