EXP,STRATEGY1,,,BIONOMIAL,STRATEGY1,
,AVERAGE,STDEV,,,AVERAGE,STDEV
f(x1) ,13812.15493,1829.723128,,f(x1) ,17090.5694,553.4152075
f(x2) ,76454.10531,0,,f(x2) ,96667.5494,0
f(x3) ,45055998275,0,,f(x3) ,78530708389,0
f(x4) ,3185616.344,0,,f(x4) ,2026301.733,0
f(x5) ,669.9265662,0,,f(x5) ,638.9817119,0
f(x6) ,-2.131786044,5.839171174,,f(x6) ,-55.47050767,75.31794377
f(x7) ,53.40265856,0,,f(x7) ,53.40265856,0
f(x8) ,605.5100159,0,,f(x8) ,700.032739,0
f(x9) ,581.0893729,0,,f(x9) ,556.4089435,0
f(x10) ,-90688.21519,0,,f(x10) ,-50475.44845,2013.449888
f(x11) ,-254521.9555,388395.5013,,f(x11) ,-1.22355E+26,1.73036E+26
f(x12) ,14.56742807,0,,f(x12) ,13.383028,0
f(x13) ,-368.5749842,522.9926633,,f(x13) ,5.562432621,0
f(x14) ,-71.81713348,102.9904217,,f(x14) ,-7.571349706,0.231395503
f(x15) ,4595143401,0,,f(x15) ,3826064758,0
f(x16) ,444.4016286,0,,f(x16) ,474.8756038,0
f(x17) ,99290.47963,0,,f(x17) ,99541.34142,0
f(x18) ,644.1896933,0,,f(x18) ,1060.400483,0
