EXP 3,AVERAGE,STDEV,,BIN 3,AVERAGE,STEDEV
f(x1) ,-6160000.00,7876992.51,,f(x1) ,-195000.00,292767.18
f(x2) ,91400.00,0.00,,f(x2) ,105000.00,0.00
f(x3) ,27300000000.00,0.00,,f(x3) ,43500000000.00,0.00
f(x4) ,2380000.00,0.00,,f(x4) ,3090000.00,0.00
f(x5) ,569.00,0.00,,f(x5) ,537.00,0.00
f(x6) ,-81.10,118.52,,f(x6) ,2.97,0.99
f(x7) ,53.40,0.00,,f(x7) ,53.40,0.00
f(x8) ,621.00,0.00,,f(x8) ,609.00,0.00
f(x9) ,592.00,0.00,,f(x9) ,574.00,0.00
f(x10) ,-2470.00,1494.94,,f(x10) ,-70900.00,0.00
f(x11) ,-229000.00,330761.06,,f(x11) ,-13200000.00,18423571.72
f(x12) ,13.40,0.00,,f(x12) ,12.20,0.00
f(x13) ,-578.00,12.40,,f(x13) ,-72.70,90.79
f(x14) ,-379.00,518.24,,f(x14) ,-39.30,62.03
f(x15) ,8670000000.00,0.00,,f(x15) ,7110000000.00,0.00
f(x16) ,534.00,0.00,,f(x16) ,479.00,0.00
f(x17) ,107000.00,0.00,,f(x17) ,108000.00,0.00
f(x18) ,689.00,0.00,,f(x18) ,941.00,0.00
