EXP 4,AVERAGE,STDEV,,BIN 4,AVERAGE,STDEV
f(x1) ,-55688.45,96330.78,,f(x1) ,-216535.64,316974.86
f(x2) ,59252.38,0.00,,f(x2) ,118523.93,0.00
f(x3) ,60791403452.00,0.00,,f(x3) ,29734449421.00,0.00
f(x4) ,3053891.07,0.00,,f(x4) ,2507143.97,0.00
f(x5) ,771.50,0.00,,f(x5) ,658.65,0.00
f(x6) ,-0.47,0.00,,f(x6) ,-15.47,24.06
f(x7) ,53.40,0.00,,f(x7) ,53.40,0.00
f(x8) ,522.59,0.00,,f(x8) ,614.88,0.00
f(x9) ,597.70,0.00,,f(x9) ,572.24,0.00
f(x10) ,-53204.51,0.00,,f(x10) ,-181553.25,0.00
f(x11) ,-44717.05,50675.92,,f(x11) ,-35339900000000000000000.00,49978100000000000000000.00
f(x12) ,13.60,0.00,,f(x12) ,13.34,0.00
f(x13) ,-535.23,358.09,,f(x13) ,-369.79,498.03
f(x14) ,6.02,0.00,,f(x14) ,3.32,2.64
f(x15) ,8150363035.00,0.00,,f(x15) ,11574499576.00,0.00
f(x16) ,481.38,0.00,,f(x16) ,406.10,0.00
f(x17) ,132899.59,0.00,,f(x17) ,88820.83,0.00
f(x18) ,937.82,0.00,,f(x18) ,729.15,0.00
