EXP5,AVERAGE,STDEV,,BIN5,AVERAGE,STDEV
f(x1) ,11572.84683,0,,f(x1) ,114560.8391,424640.7735
f(x2) ,84785.63384,0,,f(x2) ,95148.54795,0
f(x3) ,57008924122,0,,f(x3) ,73745404782,0
f(x4) ,2560739.404,0,,f(x4) ,2603131.899,0
f(x5) ,552.3057615,0,,f(x5) ,564.2149254,0
f(x6) ,-72.81068256,103.7013023,,f(x6) ,-105.9174817,132.7301812
f(x7) ,53.40265856,0,,f(x7) ,53.40265856,0
f(x8) ,626.0035643,0,,f(x8) ,529.6915314,0
f(x9) ,577.3142059,0,,f(x9) ,612.3690833,0
f(x10) ,-40803.90361,0,,f(x10) ,-2799.053644,0
f(x11) ,-14690.10432,16350.09508,,f(x11) ,-34032503868,48129228895
f(x12) ,14.46450804,0,,f(x12) ,14.46312879,0
f(x13) ,3.387598296,1.027063196,,f(x13) ,-376.9371742,533.991509
f(x14) ,-2029.326897,2871.029166,,f(x14) ,-252.0486158,366.0526684
f(x15) ,9918187892,0,,f(x15) ,7634626666,0
f(x16) ,336.1774897,0,,f(x16) ,383.3941007,0
f(x17) ,68075.10761,0,,f(x17) ,66801.23486,0
f(x18) ,1064.877415,0,,f(x18) ,1138.155483,0
