EXP 2,AVERAGE,STDEV,,BIN2,AVERAGE,STDEV
f(x1) ,-9100000.00,12659449.04,,f(x1) ,17100.00,553.42
f(x2) ,135000.00,0.00,,f(x2) ,96700.00,0.00
f(x3) ,56700000000.00,0.00,,f(x3) ,78500000000.00,0.00
f(x4) ,2660000.00,0.00,,f(x4) ,2030000.00,0.00
f(x5) ,723.00,0.00,,f(x5) ,639.00,0.00
f(x6) ,-190.00,278.80,,f(x6) ,-55.50,75.32
f(x7) ,53.40,0.00,,f(x7) ,53.40,0.00
f(x8) ,522.00,0.00,,f(x8) ,700.00,0.00
f(x9) ,588.00,0.00,,f(x9) ,556.00,0.00
f(x10) ,-151000.00,0.00,,f(x10) ,-50500.00,2013.45
f(x11) ,5220.00,7224.47,,f(x11) ,-122000000000000000000000000.00,173036000000000000000000000.00
f(x12) ,12.70,0.00,,f(x12) ,13.40,0.00
f(x13) ,-356.00,500.33,,f(x13) ,5.56,0.00
f(x14) ,-4.31,3.12,,f(x14) ,-7.57,0.23
f(x15) ,2210000000.00,0.00,,f(x15) ,3830000000.00,0.00
f(x16) ,324.00,0.00,,f(x16) ,475.00,0.00
f(x17) ,110000.00,0.00,,f(x17) ,99500.00,0.00
f(x18) ,879.00,0.00,,f(x18) ,1060.00,0.00
