,Optimized,,FSS,,,FSSB,,,FSSNW,,
,AVG,STD,AVG,STD,TIME(m/s),AVG,STD,TIME(m/s),AVG,STD,TIME(m/s)
1~10,1193,120.2,1221.5,96.87,1.5,1488.5,82.73,1,1834,50.9,1.5
11~20,1513.6,94.9,1588.3,109.37,0,1891.5,101.17,0,2583.5,222.1,0
21~30,2235,66.6,2330,92.24,1,2532.2,89.88,1,4052.9,303.4,1
31~40,98.24934266,98.2,2819.6,158.58,3.5,3745,120.29,10,4309.9,280.6,7
41~50,2983.4,52.3,3162.7,40.31,3,4208.9,136.47,7,6212.2,118.1,11.5
51~60,3652.5,53.0,3939.5,36.77,7,4856.6,134.35,7.5,8852.7,417.9,5.5
61~70,5244.5,572.0,5399.6,595.38,12,7346.9,978.64,14.5,8335.2,5313.2,11
71~80,5627.4,53.0,5858.3,31.82,21,8150.8,108.89,18.5,11643,83.4,16
81~90,6246.6,210.7,6659.5,26.16,41.5,8924.3,43.84,35,16801.2,282.8,41
91~100,10668.5,145.0,10996.9,24.75,241.5,15977.8,21.92,198.5,22827,166.2,205
101~110,11235.3,93.3,11897.6,118.09,322,17112.9,41.01,291,32218.2,828.0,265
111~120,26358.1,294.9,27485.4,21.92,4662,41746.4,32.53,4567,78652.6,3050.5,4105.5
